categories,description,price
"Fresh Milk","Pnp Low Fat Milk 2 Litre","R
                22
                
                    90"
"Canned Vegetables","No Name Asparagus Spears 430GR","R
                47
                
                    99"
"Canned Fruit","Koo Choice Grade Peach Slices 410 GR","R
                16
                
                    99"
"Dried Vegetables","PnP Sun Ripen Dried Tomato 50g","R
                14
                
                    99"
"Long Life UHT Milk","PnP UHT Full Cream Milk 1 Litre x6","R
                66
                
                    90"
"Ostrich","Pnp Butchery Ostrich Tenderloin 400g","R
                97
                
                    99"
"Pickles And Salads","PnP Atchar Mild 780g","R
                44
                
                    99"
"Concentrated Fruit Juice","PnP Cranberry Flavoured Concentrate IceT...","R
                28
                
                    49"
"Deli Meats","PnP Sliced Pastrami 125g","R
                36
                
                    99"
"Pork","PnP Butchery Boneless Pork Chops","R
                94
                
                    99
                     (per kg)"
"Frozen Meat","No Name Iqf Pork Bangers 1 KG","R
                47
                
                    99"
"Sugar & Sweeteners","PnP Castor Sugar 1kg x25","R
                775
                
                    99"
"Coffee Tea And Creamers","No Name Black Tea 26","R
                5
                
                    89"
"Ice Cream","Ola Rich'n Cream PeppermintTart Ice ...","R
                49
                
                    99"
"Salads","Deli Salad PnP Cold Meat Salad","R
                69
                
                    50
                     (per kg)"
"Confectionery","Apple Tart 20cm","R
                39
                
                    99"
"Sauces and Pates","PnP Basil Pesto Sauce 150g","R
                41
                
                    00"
"Pork","PnP Butchery Boston Butt Mini Gammon","R
                70
                
                    99
                     (per kg)"
"Frozen Poultry","PnP Frozen Chicken Nuggets 400g","R
                34
                
                    99"
"Baking Ingredients","Golden Cloud Self Raising Flour 1kg","R
                13
                
                    99"
"Deli Meats","PnP Sliced Pastrami 125g x12","R
                278
                
                    62"
"Canned Vegetables","All Gold Fresh & Chunky Tomato &...","R
                157
                
                    49"
"Carbonated Soft Drinks","PnP Apple Plastic Bottle 500ml","R
                7
                
                    99"
"Salad Dressing Mayonnaise","PnP Reduced Oil Salad Cream 790g","R
                17
                
                    90"
"Canned Fish","Lucky Star Pilchards In Hot Chilli Sauce...","R
                232
                
                    99"
"Convenience Meals","PnP Chicken Caesar Wrap","R
                30
                
                    00"
"Fresh Fruit Juice","PnP 100% Exotic Juice 1.5 Litre","R
                21
                
                    00"
"Carbonated Soft Drinks","PnP Cream Soda Can 330ml","R
                6
                
                    99"
"Long Life UHT Milk","PnP UHT Low Fat Milk 1 Litre","R
                11
                
                    99"
"Cooking Oil","PnP Classic Mild Flavour OliveOil 500ml","R
                73
                
                    99"
"Dried Vegetables","Pick N Pay Roast Seeds Original 120g","R
                22
                
                    49"
"Powdered Drinks","Amila Banana And Strawberry Drink 45g","R
                4
                
                    39"
"Frozen Meals","PnP Beef Samoosas 12","R
                26
                
                    99"
"Deli Meats","PnP Knakwurst 500g","R
                65
                
                    99"
"Vinegar","PnP Brown Grape Vinegar 750ml","R
                19
                
                    99"
"Fresh Desserts","Pnp Fresh Custard Chocolate 500g","R
                17
                
                    99"
"Pork","PnP Butchery Pork Chippolatas","R
                74
                
                    99
                     (per kg)"
"Fresh Milk","PnP Low Fat Milk Sachet 1 Litre","R
                10
                
                    49"
"Powdered Drinks","Amila Mango Flavoured 60g x12","R
                45
                
                    00"
"Long Life UHT Milk","Almond Breeze Milk Original 1 Litre","R
                36
                
                    49"
"Biltong","Pnp Beef Biltong Shaved 80g","R
                44
                
                    99"
"Fresh Milk","PnP Full Cream Milk Sachet 1 Litre x20","R
                203
                
                    99"
"Confectionery","Beekies The Best Waffle 500g","R
                32
                
                    99"
"Frozen Meat","Fry's Traditional Burger 320g x20","R
                678
                
                    99"
"Bread Rolls","Assorted Cocktail Rolls","R
                1
                
                    39"
"Canned Fruit","PnP Fruit Cocktail 420g","R
                18
                
                    99"
"Frozen Meat","I&j Beefers Beef Burger Sweet Chilli...","R
                54
                
                    99"
"Frozen Meals","Fry's Traditional Burger 320g x20","R
                678
                
                    99"
"Chicken","Pnp 8 Piece Braai Pack","R
                34
                
                    78
                     (Average)"
"Deli Meats","PnP Sliced Pastrami 125g x8","R
                185
                
                    75"
"Biscuits","Bakers Provita 10ea","R
                32
                
                    49"
"Carbonated Soft Drinks","PnP Cream Soda Plastic Bottle 500ml","R
                7
                
                    99"
"Venison","PnP Butchery Venison Steak","R
                69
                
                    99"
"Sweets","PnP M&m Peanuts","R
                220
                
                    00
                     (per kg)"
"Chilled Fish","Arctic Frost Calamari Steaks 650g","R
                59
                
                    99"
"Milk Flavourants","Cafe Enrista Hot Chocolate 10ea","R
                59
                
                    99"
"Jelly Pudding & Custard","PnP Cherry Jelly 80g","R
                4
                
                    99"
"Maize","PnP Super Maize Meal 2.5 KG x8","R
                217
                
                    49"
"Baking Aids","Nestle Caramel Treat 360g x24","R
                580
                
                    99"
"Frozen Poultry","PnP Frozen Chicken Cutlets 400g","R
                34
                
                    99"
"Confectionery","PnP Frozen Fruit Scones 10ea","R
                39
                
                    90"
"Bread Rolls","Hotdog Rolls 12ea","R
                20
                
                    28"
"Frozen Vegetables","Pnp Frozen Sweet Chilli Hash Brown 680g","R
                46
                
                    99"
"Vegetables","PnP Crisp Summer Lettuce 150GR","R
                15
                
                    95"
"Long Life Fruit Juice","PnP 100% Apple & BlackcurrentJuice 2...","R
                6
                
                    99"
"Fresh Desserts","Clover Tiramisu Dessert 140g","R
                32
                
                    99"
"Ostrich","Pnp Ostrich Fillet 500g","R
                97
                
                    99"
"Canned Fruit","PnP Apricot Halves 410g","R
                16
                
                    99"
"Soups & Thickeners","PnP Instant Soup Chicken And Vegetable4e...","R
                10
                
                    99"
"Chips And Popcorn","PnP Cheese Puffs Strip 4ea","R
                10
                
                    49"
"Sugar & Sweeteners","Natreen Artificial Sweetener Liquid 125m...","R
                64
                
                    49"
"Long Life UHT Milk","Almond Breeze Milk Original 250ml","R
                9
                
                    99"
"Vinegar","PnP Apple Cider 375 ML","R
                14
                
                    99"
"Frozen Meals","PnP Vegetable Springolls 12ea","R
                44
                
                    99"
"Chicken","No Name Bird In Bag WithoutGiblets","R
                41
                
                    93
                     (Average)"
"Chocolates","Nestle Aero Peppermint Choc 40gr","R
                7
                
                    99"
"Carbonated Fruit Juice","Ceres Sparkling 100% White Grape Juice27...","R
                68
                
                    99"
"Sugar & Sweeteners","Natreen Sweetener Granules 70g","R
                49
                
                    99"
"Fruit","Hillcrest Strawberries 350 GR","R
                49
                
                    99"
"Mineral Water","Nestle Pure Life Still Mineral Water 5 L","R
                21
                
                    99"
"Frozen Vegetables","PnP Frozen Veg Hashbrown 680g","R
                46
                
                    99"
"Dried Vegetables","PnP Croutonsgeen Pepper AndRocksalt 55g","R
                11
                
                    99"
"Margarine-Fat-And Butter","Flora Medium Fat Spread In Tub 1 KG","R
                49
                
                    99"
"Chilled Fish","Arctic Frost King Prawns 800g","R
                199
                
                    00"
"Beef","PnP Butchery Beef Short Ribs","R
                69
                
                    99
                     (per kg)"
"Sweets","Energade Sport Jellies 125g","R
                18
                
                    99"
"Lamb and Mutton","PnP Butchery Lamb Mince","R
                129
                
                    99
                     (per kg)"
"Prepacked Meats","Enterprise Skinless Frankfurter 375g","R
                29
                
                    99"
"Fruit","Hillcrest Redcurrants 350 GR","R
                63
                
                    99"
"Bread Rolls","PnP Bakehouse Brown Hamburger Buns 6ea","R
                14
                
                    99"
"Long Life UHT Milk","PnP Soya Milk 1 Litre","R
                19
                
                    99"
"Chilled Fish","PnP Norwegian Shrimps 200g","R
                109
                
                    99"
"Margarine-Fat-And Butter","Flora Medium Fat Spread In Tub 500 GR","R
                31
                
                    99"
"Pizza","PnP Hawaiian Pizza Large","R
                47
                
                    00"
"Continental Bread","Rye Bread 800g","R
                24
                
                    99"
"Iced Tea and Coffee","Bos Ice Tea Apple 1 L","R
                21
                
                    99"
"Fruit","Hillcrest Blueberries 350 GR","R
                67
                
                    99"
"Biscuits","Bakers Good Morning Milk&cereal 50gr","R
                6
                
                    99"
"Dried Fruit & Nuts","PnP Almond Slivered 100g","R
                36
                
                    99"
"Dairy By Products","PnP Cultured Buttermilk 500ML","R
                11
                
                    49"
"Cordials & Squashes","Brookes Oros Orange Squash 2L","R
                24
                
                    90"
"Coffee Tea And Creamers","Nestle Ricoffy In Tin 250 GR x12","R
                430
                
                    99"
"Pizza","Pnp Pizza Bases 2ea","R
                24
                
                    00"
"Beef","Bulk T-Bone & Club Steak Mix Pack","R
                79
                
                    99
                     (per kg)"
"Soups & Thickeners","Knorr Brown Onion Soup 45 Gr x10","R
                51
                
                    49"
"Vinegar","PnP Spirit White Vinegar 750ml","R
                7
                
                    49"
"Chilled Fish","Fish PnP Ocean Fillets","R
                31
                
                    99
                     (per kg)"
"Pasta","No Name Spaghetti 500 GR","R
                9
                
                    90"
"Chicken","PnP Butchery Kosher Chicken","R
                77
                
                    99
                     (per kg)"
"Soups & Thickeners","PnP Cream Chicken Soup 50g","R
                3
                
                    59"
"Fresh Desserts","Fair Cape Caramel Dessert 125ml","R
                5
                
                    49"
"Milk Flavourants","Hug In A Mug Hot Chocolate 25g","R
                51
                
                    99"
"Biscuits","Bakers Provita Whole Wheat 250g","R
                21
                
                    49"
"Confectionery","Assorted Danish","R
                12
                
                    99"
"Sauces and Pates","Pnp Spicy Guacamole 200g","R
                22
                
                    00"
"Pork","PnP Butchery Pork Cocktail Sausage","R
                74
                
                    99
                     (per kg)"
"Canned Vegetables","No Name Processed Peas 410 GR","R
                9
                
                    99"
"Salad Dressing Mayonnaise","PnP Salad Dressing Cream Medium 340 ML","R
                21
                
                    99"
"Fresh Milk","Pnp Low Fat Fresh Milk 1 Litre","R
                12
                
                    89"
"Vinegar","PnP White Grape Vinegar 750ml","R
                19
                
                    99"
"Baking Aids","PnP Castor Sugar 1kg","R
                31
                
                    99"
"Concentrated Fruit Juice","PnP Berry Fruit Nectar 1 Litre","R
                28
                
                    49"
"Canned Vegetables","All Gold Fresh & Chunky Tomato &...","R
                13
                
                    49"
"Deli Meats","PnP Sliced Pastrami 125g x8","R
                185
                
                    75"
"Cheese Bar","Dairybelle Savoury Cottage Cheese 250 GR","R
                21
                
                    00"
"Bread","Challah Plain 400g","R
                11
                
                    99"
"Frozen Meals","Fry's Chicken Style Strips 380g","R
                39
                
                    99"
"Eggs","No Name Large Eggs 18","R
                34
                
                    95"
"Soups & Thickeners","Knorr Brown Onion Soup 45 Gr","R
                5
                
                    29"
"Long Life Fruit Juice","PnP Apple Juice 1 Litre x12","R
                211
                
                    08"
"Bread","Cheese Bread 400g","R
                16
                
                    99"
"Vegetables","PnP Cauliflower Broccoli AndCarrots 400 ...","R
                20
                
                    99"
"Coffee Tea And Creamers","Nestle Ricoffy In Tin 250 GR x6","R
                215
                
                    49"
"Soups & Thickeners","Knorr Brown Onion Soup 45 Gr x60","R
                307
                
                    99"
"Biscuits","Bakers Blue Label Marie Biscuits 200g x1...","R
                110
                
                    49"
"Breakfast Cereals","Kellogg's All Bran Flakes 750g","R
                39
                
                    90"
"Fruit","PnP Cripps Pink Apples","R
                18
                
                    95
                     (per kg)"
"Iced Tea and Coffee","Bos Ice Tea Apple 1 L","R
                21
                
                    99"
"Frozen Poultry","I&j Frozen Chicken Burger 400 GR","R
                33
                
                    00"
"Powdered Drinks","Amila Mixed Berries Drink 45g","R
                4
                
                    39"
"Carbonated Soft Drinks","PnP Cola Plastic Bottle 2 Litre","R
                10
                
                    90"
"Yogurt","PnP Low Fat Strawberry And CUstard Yoghu...","R
                10
                
                    90"
"Maize","PnP Super Maize Meal 2.5 KG","R
                27
                
                    99"
"Cooking Oil","PnP Extra Virgin Olive Oil 1 Litre","R
                109
                
                    90"
"Baking Ingredients","PnP Cake Flour 2.5kg x4","R
                98
                
                    99"
"Desserts","Pnp Lemon Cheesecake 445g","R
                54
                
                    00"
"Jams & Sandwich Spreads","PnP Apricot Jam 450g","R
                29
                
                    99"
"Frozen Meat","I&j Beefers Beef Burger MildCurry 80...","R
                54
                
                    99"
"Fresh Milk","PnP Low Fat Milk Sachet 1 Litre x20","R
                203
                
                    99"
"Cheese Bar","Clover Traditional Plain FetA Cheese 200...","R
                35
                
                    00"
"Breakfast Cereals","Kellogg's All Bran Flakes 750g x12","R
                449
                
                    00"
"Sugar & Sweeteners","Natreen Sweetener Push Dispenser 300ea","R
                51
                
                    79"
"Carbonated Fruit Juice","Appletiser 100% Sparkling Juice 330ml x6","R
                67
                
                    99"
"Yogurt","Parmalat Low Fat Yoghurt Smooth Vanilla1...","R
                6
                
                    99"
"Pasta","Maggi 2 Min Beef Noodles 73GR x36","R
                140
                
                    40"
"Coffee Tea And Creamers","Nescafe Dolce Gusto Coffee Tea Latte 175...","R
                89
                
                    99"
"Cordials & Squashes","Pick N Pay Orange Squash 4 Litre","R
                49
                
                    99"
"Salad Dressing Mayonnaise","Hellmann's Real Mayonnaise 789g","R
                89
                
                    99"
"Baking Ingredients","Golden Cloud Self Raising Flour 1kg x10","R
                135
                
                    99"
"Fresh Milk","Pnp Low Fat Fresh Milk 3 Litre","R
                29
                
                    90"
"Chips And Popcorn","PnP Cheddar Cheese Chips 125g x12","R
                127
                
                    99"
"Ostrich","Pnp Ostrich Burgers 500g","R
                39
                
                    99"
"Vegetables","No Name Potatoes 4 KG","R
                39
                
                    99"
"Fresh Desserts","Clover Creme Caramel Dessert 180g","R
                32
                
                    99"
"Margarine-Fat-And Butter","Flora Light Polyunsaturated MediumFat Sp...","R
                31
                
                    99"
"Deli Meats","Hartlief German Salami 100 GR","R
                46
                
                    99"
"Baking Aids","Moir's Vanilla Essence 100 ML","R
                15
                
                    99"
"Coffee Tea And Creamers","Nestle Ricoffy In Tin 250 GR","R
                36
                
                    99"
"Canned Fruit","PnP Peach Slices 410g","R
                11
                
                    99"
"Margarine-Fat-And Butter","Lurpak Butter Spreadable 250GR","R
                49
                
                    99"
"Soups & Thickeners","PnP Beef & Vegetables Soup 50g","R
                3
                
                    59"
"Canned Vegetables","No Name Asparagus Salad Cut430 GR","R
                24
                
                    99"
"Baking Ingredients","Eureka Brownbread Flour 2.5kg","R
                33
                
                    99"
"Chocolates","Nestle Aero Dark Choc 40gr","R
                7
                
                    99"
"Carbonated Fruit Juice","Ceres Sparkling 100% White Grape Juice27...","R
                11
                
                    69"
"Fresh Desserts","Dewfresh Vanilla Flavoured Dessert 2X100...","R
                11
                
                    99"
"Groceries","PnP Finest Fig And Vanilla BalsamicDress...","R
                46
                
                    99"
"Cordials & Squashes","PnP Cocopine Squash 2 Litre","R
                25
                
                    49"
"Bread Rolls","PnP Bakehouse White Hotdog Rolls 6ea","R
                14
                
                    99"
"Rice & Couscous","PnP Long Grain Basmati Rice 2kg","R
                51
                
                    99"
"Rice & Couscous","PnP Brown Basmati Rice 2kg","R
                42
                
                    99"
"Biltong","PnP Beef Biltong 400g","R
                89
                
                    99"
"Vegetables","PnP Baby Leaf Salad Mix 120GR","R
                16
                
                    95"
"Soups & Thickeners","PnP Brown Onion Soup 50g","R
                3
                
                    59"
"Pickles And Salads","PnP Finest Whole Greek Kalamat 300g","R
                49
                
                    99"
"Spices & Seasoning","Robertsons Peri Peri SpiceBottle 100ml","R
                26
                
                    99"
"Milk Flavourants","Cadbury Original Hot Chocolate 500g","R
                49
                
                    99"
"Frozen Meals","Fry's Chicken Style Strips 380g","R
                39
                
                    99"
"Margarine-Fat-And Butter","PnP Butter Spread 500g","R
                47
                
                    99"
"Mineral Water","Aquelle Still Mineral Water500 ML x6","R
                22
                
                    99"
"Fresh Fruit Juice","PnP Orange Nectar 2 Litre","R
                27
                
                    59"
"Rice & Couscous","PnP Long Grain Basmati Rice 1kg","R
                26
                
                    99"
"Desserts","PnP Bulk Fruit Salad 800g","R
                35
                
                    00"
"Concentrated Fruit Juice","PnP Concentrated Cranberry And Apple500m...","R
                28
                
                    49"
"Long Life Fruit Juice","PnP 100% Apple Blackcurrant FruitJuice 1...","R
                17
                
                    59"
"Salad Bar","Salad Farm Red Chilli Salad 250gr","R
                40
                
                    50"
"Bread Rolls","Pnp Bakehouse White Hamburger Buns 6ea","R
                14
                
                    99"
"Sports And Energy Drinks","PnP Berry Flavoured Fruit Drink 300ml","R
                7
                
                    29"
"Pasta","Fatti's&moni's Spaghetti 500...","R
                198
                
                    00"
"Prepacked Meats","Enterprise Reduced Fat Back Bacon 200g","R
                31
                
                    99"
"Beef","PnP Butchery Beef Neck WithBone","R
                69
                
                    99
                     (per kg)"
"Salads","Deli PnP Peppadew And Feta Cubes","R
                103
                
                    99
                     (per kg)"
"Lamb and Mutton","PnP Butchery Lamb Kebabs","R
                104
                
                    99
                     (per kg)"
"Fruit","Pnp Frozen Blue Berries 350g","R
                59
                
                    99"
"Sauces and Pates","Mediterranean Chilli Medley375 GR","R
                26
                
                    50"
"Long Life Fruit Juice","PnP 100% Redgape Juice 3 Litre","R
                49
                
                    99"
"Baking Aids","Nestle Caramel Treat 360g x6","R
                145
                
                    49"
"Chips And Popcorn","PnP Cheese & Onion Chips 125g","R
                10
                
                    99"
"Carbonated Soft Drinks","PnP Cream Soda Can 330ml x6","R
                40
                
                    99"
"Canned Vegetables","PnP Baked Beans 410g","R
                7
                
                    29"
"Jelly Pudding & Custard","PnP Cream Soda Jelly 80g","R
                4
                
                    99"
"Sauces & Condiments","Old El Paso Dinner Kit Taco Original 313","R
                82
                
                    99"
"Long Life UHT Milk","Almond Breeze Milk Unsweetened 1 Litre","R
                36
                
                    49"
"Frozen Fish","Breco Crabsticks 500g","R
                34
                
                    99"
"Beef","PnP Butchery Beef SchnitzelPre Cut","R
                99
                
                    99
                     (per kg)"
"Prepacked Meats","Enterprise Cheese CocktailSausage 375g","R
                39
                
                    99"
"Frozen Meat","Eskort Gold Medal Pork Sausage 375 GR","R
                41
                
                    00"
"Soups & Thickeners","PnP Instant Soup Beef And Vegetable 4ea","R
                10
                
                    99"
"Rice & Couscous","PnP Brown Rice 1kg","R
                18
                
                    99"
"Maize","PnP Super Maize Meal 12.5kg","R
                125
                
                    99"
"Long Life UHT Milk","PnP UHT Full Cream Milk 1 Litre x6","R
                66
                
                    90"
"Fruit","PnP Class 1 Starking Apples","R
                18
                
                    95
                     (per kg)"
"Yogurt","No Name Low Fat Strawberry Yoghurt 2 L","R
                35
                
                    99"
"Desserts","Pnp Chocolate Mousse 120ml","R
                11
                
                    50"
"Yogurt","No Name Low Fat Yoghurt Peach 2 L","R
                35
                
                    99"
"Chicken","Pnp 16 Piece Braai Pack","R
                62
                
                    90
                     (Average)"
"Canned Fruit","PnP Peach Halves 410g","R
                11
                
                    99"
"Chips And Popcorn","PnP Bacon Rindz 100g","R
                15
                
                    29"
"Confectionery","Bakery Pnp Mini Coconut DougHnut","R
                4
                
                    39"
"Vegetables","No Name Peppers Green Pp","R
                12
                
                    50"
"Fresh Fruit Juice","PnP 100% Exotic Juice 500ml","R
                11
                
                    99"
"Fresh Fruit Juice","PnP 100% Redgape Juice 3 Litre","R
                49
                
                    99"
"Eggs","No Name Jumbo Eggs 18","R
                47
                
                    95"
"Groceries","PnP Finest Balsamic VinegarModena 250ml","R
                139
                
                    99"
"Fresh Fruit Juice","PnP 100% Pomeganate Juice 1.5 Litre","R
                21
                
                    00"
"Eggs","No Name Jumbo Eggs 6","R
                16
                
                    99"
"Dairy By Products","PnP Maas 2 Litre","R
                24
                
                    79"
"Carbonated Soft Drinks","PnP Cola Plastic Bottle 500ml","R
                7
                
                    99"
"Salad Dressing Mayonnaise","Hellmann's Real Mayonnaise 789g x15","R
                1309
                
                    49"
"Fruit","PnP Granny Smith Apples","R
                18
                
                    95
                     (per kg)"
"Spices & Seasoning","Robertsons Spice For Fish Refill 80 GR","R
                13
                
                    90"
"Ice Cream","Alpine Fruiti Flow Sugar Free Lollie 5ea","R
                10
                
                    99"
"Chocolates","Cadbury Whispers 200 GR","R
                42
                
                    99"
"Margarine-Fat-And Butter","PnP Butter Spread 500g x30","R
                1396
                
                    99"
"Fresh Desserts","Fair Cape Dessert Chocolate Mousse150ml","R
                10
                
                    99"
"Deli Meats","Deli Pnp American Hotdog x8","R
                194
                
                    64"
"Chilled Fish","Pick N Pay Smoked Snoek","R
                118
                
                    00
                     (per kg)"
"Fruit","PnP Pears Cactus Box","R
                39
                
                    99"
"Deli Meats","Deli Pnp American Hotdog x8","R
                194
                
                    64"
"Coffee Tea And Creamers","Hug In A Mug Creamy Cappucino 24g","R
                51
                
                    99"
"Bread Rolls","PnP Pannini","R
                3
                
                    29"
"Rice & Couscous","PnP Jasmine Rice 1kg","R
                20
                
                    99"
"Jelly Pudding & Custard","PnP Litchi Jelly 80g","R
                4
                
                    99"
"Fruit","PnP Class 1 Pears","R
                18
                
                    95
                     (per kg)"
"Yogurt","Fabulite Strawberry Banana Cherry& V...","R
                18
                
                    99"
"Chocolates","Lindt Cornet Straciatella 200 GR","R
                96
                
                    99"
"Sauces and Pates","Pick N Pay Red Pesto 150g","R
                30
                
                    00"
"Dried Vegetables","PnP Instant Mash Sour Creamand Chives 10...","R
                11
                
                    99"
"Beef","Box Lean Beef Mince","R
                69
                
                    99
                     (per kg)"
"Canned Fruit","PnP Fruit Salad 825g","R
                32
                
                    99"
"Convenience Meals","PnP Beef Lasagne 1kg","R
                102
                
                    50"
"Lamb and Mutton","PnP Butchery Country RearedLamb Chump Ch...","R
                154
                
                    99
                     (per kg)"
"Chilled Fish","PnP Mackerel Peppered","R
                28
                
                    82
                     (Average)"
"Sports And Energy Drinks","PnP Fruit Cocktail Flavour Drink 300ml","R
                7
                
                    29"
"Pickles And Salads","PnP Cocktail Onions Yellow 130g","R
                19
                
                    99"
"Sports And Energy Drinks","Lucozade Energy Drink Pink Lemon 500ml x...","R
                73
                
                    99"
"Jams & Sandwich Spreads","All Gold Super Fine Apricot Jam 900g","R
                26
                
                    99"
"Confectionery","Bakery PnP Home Style Ring Doughnut","R
                5
                
                    99"
"Canned Fish","Lucky Star Pilchards In Hot Chilli Sauce...","R
                13
                
                    99"
"Beef","PnP Butchery Beef Espetada","R
                87
                
                    99
                     (per kg)"
"Sugar & Sweeteners","Natreen Sweetener Refill 500ea","R
                58
                
                    99"
"Salad Dressing Mayonnaise","PnP Salad Dressing French 340ml","R
                21
                
                    99"
"Chips And Popcorn","Lay's Caribbean Onion AndBalsamic Vi...","R
                15
                
                    29"
"Frozen Fish","Budget Fish Fingers","R
                55
                
                    99
                     (per kg)"
"Ice Cream","Ola Rich'n Cream Chocolate Vanilla C...","R
                49
                
                    99"
"Frozen Poultry","No Name Iqf Chicken BraaicutS 2 Kg x6","R
                275
                
                    90"
"Frozen Meals","PnP Beef Springolls 12ea","R
                44
                
                    99"
"Rice & Couscous","PnP Brown Basmati Rice 1 KG","R
                29
                
                    99"
"Pickles And Salads","PnP Atchar Hot 780g","R
                44
                
                    99"
"Cordials & Squashes","Pick N Pay Orange Squash 1 Litre","R
                15
                
                    99"
"Soups & Thickeners","Knorr Cup A Snck Spring Vegetables &...","R
                10
                
                    99"
"Frozen Meat","Eskort Gold Medal Pork Sausages 750 GR","R
                65
                
                    00"
"Desserts","Pnp Choc Berry Trifle 600g","R
                85
                
                    50"
"Fresh Fruit Juice","PnP 40% Mango And Orange Sachet Blend 1L...","R
                6
                
                    99"
"Canned Meat","PnP Spaghetti And Meatballs in Tomato Sa...","R
                18
                
                    99"
"Eggs","No Name Extra Large Eggs 18","R
                25
                
                    90"
"Bread","Authentic Ciabatta 400gr","R
                18
                
                    99"
"Sauces & Condiments","No Name Tomato Sauce 750 ML","R
                12
                
                    90"
"Breakfast Cereals","Kellogg's Rice Krispies 600g x10","R
                460
                
                    99"
"Fruit","PnP Apples Golden Delicious","R
                18
                
                    95
                     (per kg)"
"Powdered Drinks","Amila Mango Flavoured 60g","R
                6
                
                    49"
"Sauces and Pates","Mediterranean Hummus 190g","R
                25
                
                    00"
"Prepacked Meats","Enterprise Sandwich Selection 250g","R
                39
                
                    99"
"Dairy By Products","Pnp Fresh Cream 1 Litre","R
                49
                
                    99"
"Frozen Meat","Eskort Beef Sausages 375 GR","R
                46
                
                    00"
"Canned Vegetables","Farmgirl Baked Beans In Tomato Sauce 410...","R
                6
                
                    99"
"Rice & Couscous","PnP Basmati Rice 1kg x20","R
                465
                
                    49"
"Dried Fruit & Nuts","PnP Almond Ground 100g","R
                36
                
                    99"
"Deli Meats","PnP Sliced Pastrami 125g x20","R
                464
                
                    38"
"Cheese Bar","Cheese PnP Gouda","R
                84
                
                    00
                     (per kg)"
"Dried Fruit & Nuts","PnP Almond Raw 100g","R
                32
                
                    99"
"Salads","Kosher Deli PnP Feigel Kosher Cabbage","R
                68
                
                    00
                     (per kg)"
"Canned Fruit","Koo Choice Grade Peach Slices 410 GR x12","R
                197
                
                    99"
"Baking Ingredients","Snowflake Cake Flour 2.5kg","R
                28
                
                    99"
"Vinegar","PnP Finest Balsamic VinegarModena 250ml","R
                139
                
                    99"
"Carbonated Fruit Juice","Ceres Sparkling Apple Drink 275ml x6","R
                68
                
                    99"
"Soups & Thickeners","PnP Brown Onion Gravy 40g","R
                8
                
                    99"
"Eggs","No Name Extra Large Eggs 6","R
                14
                
                    99"
"Desserts","Pnp Cream Soda Jelly And Custard 120g","R
                8
                
                    00"
"Carbonated Fruit Juice","Ceres Sparkling Apple Drink 275ml","R
                11
                
                    69"
"Dried Fruit & Nuts","PnP Cashews Salted 400g","R
                139
                
                    00"
"Chilled Fish","1an Blue Ribbon Salmon Trout Smoked Fill","R
                58
                
                    99"
"Margarine-Fat-And Butter","PnP Salted Butter 500g x30","R
                1249
                
                    99"
"Breakfast Cereals","Kellogg's Coco Pops Original 350g","R
                33
                
                    99"
"Concentrated Fruit Juice","PnP Lemon Flavoured Concentrate Ice Tea ...","R
                28
                
                    49"
"Beef","PnP Butchery Beef Kebabs InMarinade","R
                89
                
                    99
                     (per kg)"
"Dairy By Products","PnP Fat Free Iced CoffeeFlavoured Milk 3...","R
                10
                
                    99"
"Convenience Meals","PnP White Cheese And TomatoSandwich","R
                20
                
                    00"
"Vegetables","PnP Asparagus White 250g","R
                49
                
                    99"
"Powdered Drinks","Amila Ice Tea Rooibos 45g","R
                4
                
                    99"
"Pickles And Salads","PnP Atchar Mango Mild 380g","R
                22
                
                    99"
"Deli Meats","Deli Pnp American Hotdog","R
                35
                
                    99"
"Jelly Pudding & Custard","PnP Jelly Granadilla 80g","R
                4
                
                    99"
"Vinegar","PnP Spirit Brown Vinegar 2 Litre","R
                19
                
                    29"
"Canned Meat","PnP Vienna Sausages In Brine 275g","R
                19
                
                    99"
"Pickles And Salads","PnP Atchar Mango Hot 380g","R
                22
                
                    99"
"Ice Cream","Ola Rich'n Cream Rum And Raisin Ice ...","R
                49
                
                    99"
"Jams & Sandwich Spreads","All Gold Super Fine Apricot Jam 450 GR","R
                17
                
                    99"
"Sports And Energy Drinks","PnP Naartjie Flavoured Drink 300ml","R
                7
                
                    29"
"Chocolates","Frey Chocolate Bar Blanc Amandes 180g","R
                64
                
                    99"
"Powdered Drinks","Amila Fruit Cocktail Flavour 60g x12","R
                45
                
                    00"
"Carbonated Soft Drinks","PnP Cream Soda Plastic Bottle 2 Litre","R
                10
                
                    90"
"Long Life UHT Milk","Almond Breeze Milk Unsweetened 1 Litre","R
                36
                
                    49"
"Margarine-Fat-And Butter","Helios Original Margerine Brick 500g","R
                15
                
                    99"
"Canned Fish","Lucky Star Pilchards In Hot Chilli Sauce...","R
                232
                
                    99"
"Pork","PnP Butchery Boneless Pork Rasher","R
                89
                
                    99
                     (per kg)"
"Dried Vegetables","No Name Samp & Beans 1kg","R
                20
                
                    99"
"Sauces and Pates","Mediterranean Tzatziki 190g","R
                29
                
                    00"
"Sauces & Condiments","Old El Paso Taco Salsa Mild 235g","R
                41
                
                    99"
"Frozen Vegetables","PnP Count Crisp Mixed Vegetables 1kg","R
                21
                
                    90"
